No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
45,Dalano Banton,PG,6-9,204,"November 7, 1999",caCA,2,Nebraska,https://www.basketball-reference.com/players/b/bantoda01.html,BOS,2024
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",caCA,4,Syracuse,https://www.basketball-reference.com/players/b/brissos01.html,BOS,2024
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",usUS,7,California,https://www.basketball-reference.com/players/b/brownja02.html,BOS,2024
20,JD Davison,SG,6-1,195,"October 3, 2002",usUS,1,Alabama,https://www.basketball-reference.com/players/d/davisjd01.html,BOS,2024
30,Sam Hauser,SF,6-8,215,"December 8, 1997",usUS,2,"Marquette,Virginia",https://www.basketball-reference.com/players/h/hausesa01.html,BOS,2024
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",usUS,14,UCLA,https://www.basketball-reference.com/players/h/holidjr01.html,BOS,2024
42,Al Horford,C,6-9,240,"June 3, 1986",doDO,16,Florida,https://www.basketball-reference.com/players/h/horfoal01.html,BOS,2024
40,Luke Kornet,C,7-2,250,"July 15, 1995",usUS,6,Vanderbilt,https://www.basketball-reference.com/players/k/kornelu01.html,BOS,2024
50,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",uaUA,5,Kansas,https://www.basketball-reference.com/players/m/mykhasv01.html,BOS,2024
13,Drew Peterson,PF,6-9,205,"November 9, 1999",usUS,R,"Rice University,USC",https://www.basketball-reference.com/players/p/peterdr01.html,BOS,2024
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lvLV,7,,https://www.basketball-reference.com/players/p/porzikr01.html,BOS,2024
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",usUS,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01.html,BOS,2024
88,Neemias Queta,C,7-0,245,"July 13, 1999",ptPT,2,Utah State University,https://www.basketball-reference.com/players/q/quetane01.html,BOS,2024
44,Jaden Springer,SG,6-4,204,"September 25, 2002",usUS,2,Tennessee,https://www.basketball-reference.com/players/s/sprinja01.html,BOS,2024
77,Lamar Stevens,PF,6-6,230,"July 9, 1997",usUS,3,Penn State,https://www.basketball-reference.com/players/s/stevela01.html,BOS,2024
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",usUS,6,Duke,https://www.basketball-reference.com/players/t/tatumja01.html,BOS,2024
26,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",usUS,3,Michigan State,https://www.basketball-reference.com/players/t/tillmxa01.html,BOS,2024
27,Jordan Walsh,SF,6-7,205,"March 3, 2004",usUS,R,Arkansas,https://www.basketball-reference.com/players/w/walshjo01.html,BOS,2024
9,Derrick White,SG,6-4,190,"July 2, 1994",usUS,6,"Colorado-Colorado Springs,Colorado",https://www.basketball-reference.com/players/w/whitede01.html,BOS,2024
