No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
0,Christian Braun,SG,6-6,218,"April 17, 2001",usUS,R,Kansas,https://www.basketball-reference.com/players/b/braunch01.html,DEN,2023
11,Bruce Brown,SF,6-4,202,"August 15, 1996",usUS,4,Miami (FL),https://www.basketball-reference.com/players/b/brownbr01.html,DEN,2023
13,Thomas Bryant,C,6-10,248,"July 31, 1997",usUS,5,Indiana,https://www.basketball-reference.com/players/b/bryanth01.html,DEN,2023
5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",usUS,9,Georgia,https://www.basketball-reference.com/players/c/caldwke01.html,DEN,2023
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",siSI,3,,https://www.basketball-reference.com/players/c/cancavl01.html,DEN,2023
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",usUS,8,Arizona,https://www.basketball-reference.com/players/g/gordoaa01.html,DEN,2023
32,Jeff Green,PF,6-8,235,"August 28, 1986",usUS,14,Georgetown,https://www.basketball-reference.com/players/g/greenje02.html,DEN,2023
3,Bones Hyland,PG,6-2,173,"September 14, 2000",usUS,1,VCU,https://www.basketball-reference.com/players/h/hylanbo01.html,DEN,2023
7,Reggie Jackson,PG,6-2,208,"April 16, 1990",itIT,11,Boston College,https://www.basketball-reference.com/players/j/jacksre01.html,DEN,2023
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rsRS,7,,https://www.basketball-reference.com/players/j/jokicni01.html,DEN,2023
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",usUS,14,Texas A&M,https://www.basketball-reference.com/players/j/jordade01.html,DEN,2023
27,Jamal Murray,PG,6-4,215,"February 23, 1997",caCA,5,Kentucky,https://www.basketball-reference.com/players/m/murraja01.html,DEN,2023
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",usUS,2,Arizona,https://www.basketball-reference.com/players/n/nnajize01.html,DEN,2023
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",usUS,3,Missouri,https://www.basketball-reference.com/players/p/portemi01.html,DEN,2023
9,Davon Reed,SG,6-5,208,"June 11, 1995",usUS,3,Miami (FL),https://www.basketball-reference.com/players/r/reedda01.html,DEN,2023
14,Ish Smith,PG,6-0,175,"July 5, 1988",usUS,12,Wake Forest,https://www.basketball-reference.com/players/s/smithis01.html,DEN,2023
8,Peyton Watson,SG,6-8,200,"September 11, 2002",usUS,R,UCLA,https://www.basketball-reference.com/players/w/watsope01.html,DEN,2023
10,Jack White,SF,6-7,225,"August 5, 1997",auAU,R,Duke,https://www.basketball-reference.com/players/w/whiteja03.html,DEN,2023
