No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
8,Nemanja Bjelica,C,6-10,234,"May 9, 1988",rsRS,6,,https://www.basketball-reference.com/players/b/bjeline01.html,GSW,2022
2,Chris Chiozza,PG,5-11,175,"November 21, 1995",usUS,3,Florida,https://www.basketball-reference.com/players/c/chiozch01.html,GSW,2022
30,Stephen Curry,PG,6-2,185,"March 14, 1988",usUS,12,Davidson,https://www.basketball-reference.com/players/c/curryst01.html,GSW,2022
21,Jeff Dowtin Jr.,PG,6-3,185,"May 10, 1997",usUS,R,Rhode Island,https://www.basketball-reference.com/players/d/dowtije01.html,GSW,2022
23,Draymond Green,PF,6-6,230,"March 4, 1990",usUS,9,Michigan State,https://www.basketball-reference.com/players/g/greendr01.html,GSW,2022
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",usUS,17,Arizona,https://www.basketball-reference.com/players/i/iguodan01.html,GSW,2022
00,Jonathan Kuminga,SF,6-8,210,"October 6, 2002",cdCD,R,,https://www.basketball-reference.com/players/k/kuminjo01.html,GSW,2022
1,Damion Lee,SG,6-5,210,"October 21, 1992",usUS,4,"Drexel,Louisville",https://www.basketball-reference.com/players/l/leeda03.html,GSW,2022
5,Kevon Looney,C,6-9,222,"February 6, 1996",usUS,6,UCLA,https://www.basketball-reference.com/players/l/looneke01.html,GSW,2022
4,Moses Moody,SG,6-5,205,"May 31, 2002",usUS,R,Arkansas,https://www.basketball-reference.com/players/m/moodymo01.html,GSW,2022
0,Gary Payton II,SG,6-2,190,"December 1, 1992",usUS,5,Oregon State,https://www.basketball-reference.com/players/p/paytoga02.html,GSW,2022
3,Jordan Poole,SG,6-4,194,"June 19, 1999",usUS,2,Michigan,https://www.basketball-reference.com/players/p/poolejo01.html,GSW,2022
32,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",usUS,8,Georgetown,https://www.basketball-reference.com/players/p/porteot01.html,GSW,2022
11,Klay Thompson,SG,6-5,215,"February 8, 1990",usUS,8,Washington State,https://www.basketball-reference.com/players/t/thompkl01.html,GSW,2022
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",usUS,2,Marquette,https://www.basketball-reference.com/players/t/toscaju01.html,GSW,2022
12,Quinndary Weatherspoon,SG,6-3,205,"September 10, 1996",usUS,2,Mississippi State,https://www.basketball-reference.com/players/w/weathqu01.html,GSW,2022
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",caCA,7,Kansas,https://www.basketball-reference.com/players/w/wiggian01.html,GSW,2022
