No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
37,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",grGR,1,Dayton,https://www.basketball-reference.com/players/a/antetko01.html,LAL,2020
11,Avery Bradley,SG,6-3,180,"November 26, 1990",usUS,9,Texas,https://www.basketball-reference.com/players/b/bradlav01.html,LAL,2020
12,Devontae Cacok,C,6-7,240,"October 8, 1996",usUS,R,UNC Wilmington,https://www.basketball-reference.com/players/c/cacokde01.html,LAL,2020
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",usUS,6,Georgia,https://www.basketball-reference.com/players/c/caldwke01.html,LAL,2020
4,Alex Caruso,PG,6-5,186,"February 28, 1994",usUS,2,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,LAL,2020
"2, 28",Quinn Cook,PG,6-1,180,"March 23, 1993",usUS,3,Duke,https://www.basketball-reference.com/players/c/cookqu01.html,LAL,2020
30,Troy Daniels,SG,6-4,200,"July 15, 1991",usUS,6,VCU,https://www.basketball-reference.com/players/d/danietr01.html,LAL,2020
3,Anthony Davis,PF,6-10,253,"March 11, 1993",usUS,7,Kentucky,https://www.basketball-reference.com/players/d/davisan02.html,LAL,2020
10,Jared Dudley,PF,6-6,237,"July 10, 1985",usUS,12,Boston College,https://www.basketball-reference.com/players/d/dudleja01.html,LAL,2020
14,Danny Green,SG,6-6,215,"June 22, 1987",usUS,10,UNC,https://www.basketball-reference.com/players/g/greenda02.html,LAL,2020
5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",usUS,R,Iowa State,https://www.basketball-reference.com/players/h/hortota01.html,LAL,2020
39,Dwight Howard,C,6-10,265,"December 8, 1985",usUS,15,,https://www.basketball-reference.com/players/h/howardw01.html,LAL,2020
23,LeBron James,PG,6-9,250,"December 30, 1984",usUS,16,,https://www.basketball-reference.com/players/j/jamesle01.html,LAL,2020
0,Kyle Kuzma,PF,6-9,221,"July 24, 1995",usUS,2,Utah,https://www.basketball-reference.com/players/k/kuzmaky01.html,LAL,2020
7,JaVale McGee,C,7-0,270,"January 19, 1988",usUS,11,Nevada,https://www.basketball-reference.com/players/m/mcgeeja01.html,LAL,2020
88,Markieff Morris,PF,6-9,245,"September 2, 1989",usUS,8,Kansas,https://www.basketball-reference.com/players/m/morrima02.html,LAL,2020
21,Zach Norvell,SG,6-5,206,"December 9, 1997",usUS,R,Gonzaga,https://www.basketball-reference.com/players/n/norveza01.html,LAL,2020
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",usUS,13,Kentucky,https://www.basketball-reference.com/players/r/rondora01.html,LAL,2020
21,J.R. Smith,SG,6-6,225,"September 9, 1985",usUS,15,North Carolina A&T,https://www.basketball-reference.com/players/s/smithjr01.html,LAL,2020
18,Dion Waiters,SG,6-3,215,"December 10, 1991",usUS,7,Syracuse,https://www.basketball-reference.com/players/w/waitedi01.html,LAL,2020
