No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
6,Jaylen Adams,PG,6-0,225,"May 4, 1996",usUS,2,St. Bonaventure,https://www.basketball-reference.com/players/a/adamsja01.html,MIL,2021
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",grGR,7,,https://www.basketball-reference.com/players/a/antetgi01.html,MIL,2021
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",grGR,2,,https://www.basketball-reference.com/players/a/antetth01.html,MIL,2021
12,D.J. Augustin,PG,5-11,183,"November 10, 1987",usUS,12,Texas,https://www.basketball-reference.com/players/a/augusdj01.html,MIL,2021
3,Elijah Bryant,SG,6-5,210,"April 19, 1995",usUS,R,"Elon University,BYU",https://www.basketball-reference.com/players/b/bryanel01.html,MIL,2021
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",usUS,5,Notre Dame,https://www.basketball-reference.com/players/c/connapa01.html,MIL,2021
3,Torrey Craig,SF,6-7,221,"December 19, 1990",usUS,3,USC Upstate,https://www.basketball-reference.com/players/c/craigto01.html,MIL,2021
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gnGN,R,Virginia,https://www.basketball-reference.com/players/d/diakima01.html,MIL,2021
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",usUS,2,Villanova,https://www.basketball-reference.com/players/d/divindo01.html,MIL,2021
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",usUS,4,Michigan State,https://www.basketball-reference.com/players/f/forbebr01.html,MIL,2021
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",usUS,11,UCLA,https://www.basketball-reference.com/players/h/holidjr01.html,MIL,2021
44,Justin Jackson,SF,6-8,220,"March 28, 1995",usUS,3,UNC,https://www.basketball-reference.com/players/j/jacksju01.html,MIL,2021
00,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lvLV,2,,https://www.basketball-reference.com/players/k/kurucro01.html,MIL,2021
11,Brook Lopez,C,7-1,282,"April 1, 1988",usUS,12,Stanford,https://www.basketball-reference.com/players/l/lopezbr01.html,MIL,2021
15,Sam Merrill,SG,6-4,205,"May 15, 1996",usUS,R,Utah State University,https://www.basketball-reference.com/players/m/merrisa01.html,MIL,2021
22,Khris Middleton,SF,6-7,222,"August 12, 1991",usUS,8,Texas A&M,https://www.basketball-reference.com/players/m/middlkh01.html,MIL,2021
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",usUS,R,Louisville,https://www.basketball-reference.com/players/n/nworajo01.html,MIL,2021
9,Bobby Portis,C,6-10,250,"February 10, 1995",usUS,5,Arkansas,https://www.basketball-reference.com/players/p/portibo01.html,MIL,2021
5,Jeff Teague,PG,6-3,195,"June 10, 1988",usUS,11,Wake Forest,https://www.basketball-reference.com/players/t/teaguje01.html,MIL,2021
66,Axel Toupane,SF,6-7,197,"July 23, 1992",frFR,2,,https://www.basketball-reference.com/players/t/toupaax01.html,MIL,2021
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",usUS,9,Texas,https://www.basketball-reference.com/players/t/tuckepj01.html,MIL,2021
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",usUS,3,Michigan,https://www.basketball-reference.com/players/w/wilsodj01.html,MIL,2021
