No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
15,Branden Carlson,C,7-0,220,"June 14, 1999",usUS,R,Utah,https://www.basketball-reference.com/players/c/carlsbr01.html,OKC,2025
9,Alex Caruso,SG,6-5,186,"February 28, 1994",usUS,7,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,OKC,2025
13,Ousmane Dieng,C,6-10,222,"May 21, 2003",frFR,2,,https://www.basketball-reference.com/players/d/diengou01.html,OKC,2025
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",caCA,5,Arizona State,https://www.basketball-reference.com/players/d/dortlu01.html,OKC,2025
88,Alex Ducas,SG,6-6,222,"December 11, 2000",auAU,R,Saint Mary's,https://www.basketball-reference.com/players/d/ducasal01.html,OKC,2025
14,Adam Flagler,SG,6-3,195,"December 1, 1999",usUS,1,"Presbyterian College,Baylor",https://www.basketball-reference.com/players/f/flaglad01.html,OKC,2025
2,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",caCA,6,Kentucky,https://www.basketball-reference.com/players/g/gilgesh01.html,OKC,2025
55,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",usUS,6,,https://www.basketball-reference.com/players/h/harteis01.html,OKC,2025
7,Chet Holmgren,C,7-1,213,"May 1, 2002",usUS,1,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01.html,OKC,2025
11,Isaiah Joe,SG,6-5,181,"July 2, 1999",usUS,4,Arkansas,https://www.basketball-reference.com/players/j/joeis01.html,OKC,2025
3,Dillon Jones,SF,6-5,240,"October 29, 2001",usUS,R,Weber State,https://www.basketball-reference.com/players/j/jonesdi01.html,OKC,2025
17,Malevy Leons,SF,6-9,205,"September 23, 1999",nlNL,R,"Mineral Area College,Bradley",https://www.basketball-reference.com/players/l/leonsma01.html,OKC,2025
25,Ajay Mitchell,SG,6-5,200,"June 25, 2002",beBE,R,UC Santa Barbara,https://www.basketball-reference.com/players/m/mitchaj01.html,OKC,2025
15,Alex Reese,PF,6-9,245,"May 21, 1999",usUS,R,Alabama,https://www.basketball-reference.com/players/r/reeseal01.html,OKC,2025
22,Cason Wallace,SG,6-4,205,"November 7, 2003",usUS,1,Kentucky,https://www.basketball-reference.com/players/w/wallaca01.html,OKC,2025
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",usUS,3,Maryland,https://www.basketball-reference.com/players/w/wiggiaa01.html,OKC,2025
8,Jalen Williams,SG,6-6,220,"April 14, 2001",usUS,2,Santa Clara,https://www.basketball-reference.com/players/w/willija06.html,OKC,2025
6,Jaylin Williams,PF,6-8,250,"June 29, 2002",usUS,2,Arkansas,https://www.basketball-reference.com/players/w/willija07.html,OKC,2025
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",usUS,6,TCU,https://www.basketball-reference.com/players/w/willike04.html,OKC,2025
