full_name,height
Giannis Antetokounmpo,211
James Harden,196
Paul George,203
Nikola Jokić,211
Stephen Curry,188
Damian Lillard,188
Joel Embiid,213
Kevin Durant,211
Kawhi Leonard,201
Russell Westbrook,193
Rudy Gobert,216
LeBron James,206
Giannis Antetokounmpo,211
LeBron James,206
James Harden,196
Luka Dončić,198
Kawhi Leonard,201
Anthony Davis,208
Chris Paul,183
Damian Lillard,188
Nikola Jokić,211
Pascal Siakam,203
Jimmy Butler,201
Jayson Tatum,203
Nikola Jokić,211
Joel Embiid,213
Stephen Curry,188
Giannis Antetokounmpo,211
Chris Paul,183
Luka Dončić,198
Damian Lillard,188
Julius Randle,206
Derrick Rose,190
Rudy Gobert,216
Russell Westbrook,193
Ben Simmons,208
James Harden,196
LeBron James,206
Kawhi Leonard,201
Nikola Jokić,211
Joel Embiid,213
Giannis Antetokounmpo,211
Devin Booker,198
Luka Dončić,198
Jayson Tatum,203
Ja Morant,188
Stephen Curry,188
Chris Paul,183
DeMar DeRozan,198
Kevin Durant,211
LeBron James,206
Joel Embiid,213
Nikola Jokić,211
Giannis Antetokounmpo,211
Jayson Tatum,203
Shai Gilgeous-Alexander,198
Donovan Mitchell,190
Domantas Sabonis,208
Luka Dončić,198
Stephen Curry,188
Jimmy Butler,201
De'Aaron Fox,190
Jalen Brunson,188
Ja Morant,188
Nikola Jokić,211
Shai Gilgeous-Alexander,198
Luka Dončić,198
Giannis Antetokounmpo,211
Jalen Brunson,188
Jayson Tatum,203
Anthony Edwards,193
Domantas Sabonis,208
Kevin Durant,211
