full_name,agility
Jayson Tatum,2.1368
Joel Embiid,1.6772
Luka Dončić,1.9038
Shai Gilgeous-Alexander,2.2000
Giannis Antetokounmpo,1.9358
Anthony Edwards,1.8922
Julius Randle,1.8230
Donovan Mitchell,1.9588
Trae Young,2.5000
Zach LaVine,2.1778
Damian Lillard,2.1364
De'Aaron Fox,2.2892
DeMar DeRozan,2.0000
Jaylen Brown,1.9604
Pascal Siakam,1.9519
Lauri Markkanen,1.9722
Nikola Jokić,1.6484
Jalen Green,2.4125
Jordan Poole,2.2184
Mikal Bridges,2.1064
Luka Dončić,1.9038
Shai Gilgeous-Alexander,2.2000
Giannis Antetokounmpo,1.9358
Jalen Brunson,2.1860
Nikola Jokić,1.6484
Anthony Edwards,1.8922
Kevin Durant,1.9537
Jayson Tatum,2.1368
De'Aaron Fox,2.2892
Stephen Curry,2.2651
DeMar DeRozan,2.0000
Anthony Davis,1.8246
Devin Booker,2.1290
LeBron James,1.8230
Tyrese Maxey,2.0889
Paolo Banchero,1.8407
Damian Lillard,2.1364
Dejounte Murray,2.4198
Pascal Siakam,1.9519
Paul George,2.0505
