full_name,potential,season
Nemanja Bjelica,0.1765,2022
Chris Chiozza,0.1111,2022
Stephen Curry,0.3529,2022
Jeff Dowtin Jr.,0.0000,2022
Draymond Green,0.2813,2022
Andre Iguodala,0.4474,2022
Jonathan Kuminga,0.0000,2022
Damion Lee,0.1333,2022
Kevon Looney,0.2308,2022
Moses Moody,0.0000,2022
Gary Payton II,0.1667,2022
Jordan Poole,0.0870,2022
Otto Porter Jr.,0.2759,2022
Klay Thompson,0.2500,2022
Juan Toscano-Anderson,0.0690,2022
Quinndary Weatherspoon,0.0769,2022
Andrew Wiggins,0.2593,2022
Jaylen Adams,0.0800,2021
Giannis Antetokounmpo,0.2593,2021
Thanasis Antetokounmpo,0.0690,2021
D.J. Augustin,0.3529,2021
Elijah Bryant,0.0000,2021
Pat Connaughton,0.1786,2021
Torrey Craig,0.0968,2021
Mamadi Diakite,0.0000,2021
Donte DiVincenzo,0.0833,2021
Bryn Forbes,0.1429,2021
Jrue Holiday,0.3548,2021
Justin Jackson,0.1154,2021
Rodions Kurucs,0.0870,2021
Brook Lopez,0.3636,2021
Sam Merrill,0.0000,2021
Khris Middleton,0.2667,2021
Jordan Nwora,0.0000,2021
Bobby Portis,0.1923,2021
Jeff Teague,0.3333,2021
Axel Toupane,0.0690,2021
P.J. Tucker,0.2500,2021
D.J. Wilson,0.1200,2021
