full_name,height,season
James Harden,196,2019
Paul George,203,2019
Kemba Walker,183,2019
Bradley Beal,193,2019
Damian Lillard,188,2019
Kevin Durant,211,2019
Giannis Antetokounmpo,211,2019
Stephen Curry,188,2019
Karl-Anthony Towns,213,2019
Blake Griffin,206,2019
Donovan Mitchell,190,2019
Joel Embiid,213,2019
LaMarcus Aldridge,211,2019
D'Angelo Russell,190,2019
Devin Booker,198,2019
Buddy Hield,193,2019
Klay Thompson,196,2019
Russell Westbrook,193,2019
Nikola Vučević,208,2019
Tobias Harris,203,2019
DeMar DeRozan,198,2019
Nikola Jokić,211,2019
Kyrie Irving,188,2019
Kawhi Leonard,201,2019
Julius Randle,206,2019
Trae Young,185,2019
Luka Dončić,198,2019
LeBron James,206,2019
Lou Williams,188,2019
Zach LaVine,196,2019
Mike Conley,183,2019
CJ McCollum,190,2019
Bojan Bogdanović,201,2019
Anthony Davis,208,2019
Jrue Holiday,193,2019
Khris Middleton,201,2019
De'Aaron Fox,190,2019
JJ Redick,190,2019
Collin Sexton,190,2019
Andre Drummond,211,2019
Jamal Murray,193,2019
Jordan Clarkson,190,2019
Montrezl Harrell,201,2019
Pascal Siakam,203,2019
Danilo Gallinari,208,2019
Ben Simmons,208,2019
Andrew Wiggins,201,2019
Kyle Kuzma,206,2019
Rudy Gobert,216,2019
Harrison Barnes,203,2019
James Harden,196,2020
Damian Lillard,188,2020
Devin Booker,198,2020
Giannis Antetokounmpo,211,2020
Trae Young,185,2020
Luka Dončić,198,2020
Bradley Beal,193,2020
LeBron James,206,2020
Donovan Mitchell,190,2020
Anthony Davis,208,2020
CJ McCollum,190,2020
Russell Westbrook,193,2020
Jayson Tatum,203,2020
Kawhi Leonard,201,2020
Zach LaVine,196,2020
DeMar DeRozan,198,2020
Brandon Ingram,203,2020
Nikola Jokić,211,2020
Tobias Harris,203,2020
Buddy Hield,193,2020
Pascal Siakam,203,2020
Collin Sexton,190,2020
Shai Gilgeous-Alexander,198,2020
T.J. Warren,203,2020
Spencer Dinwiddie,196,2020
Khris Middleton,201,2020
Bojan Bogdanović,201,2020
Julius Randle,206,2020
Chris Paul,183,2020
Dennis Schröder,185,2020
Evan Fournier,198,2020
Nikola Vučević,208,2020
Ja Morant,188,2020
Lou Williams,188,2020
Dillon Brooks,198,2020
Andrew Wiggins,201,2020
Montrezl Harrell,201,2020
Joel Embiid,213,2020
Jrue Holiday,193,2020
Kristaps Porziņģis,218,2020
Danilo Gallinari,208,2020
Jaylen Brown,198,2020
Jimmy Butler,201,2020
Domantas Sabonis,208,2020
Bam Adebayo,206,2020
