rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,id,year
1,Giannis Antetokounmpo,24,MIL,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292,/players/a/antetgi01.html,2019
2,James Harden,29,HOU,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,.442,.368,.879,15.2,.254,/players/h/hardeja01.html,2019
3,Paul George,28,OKC,0,356,1010,0.352,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201,/players/g/georgpa01.html,2019
4,Nikola Jokić,23,DEN,0,212,1010,0.210,80,31.3,20.1,10.8,7.3,1.4,0.7,.511,.307,.821,11.8,.226,/players/j/jokicni01.html,2019
5,Stephen Curry,30,GSW,0,175,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,.472,.437,.916,9.7,.199,/players/c/curryst01.html,2019
6,Damian Lillard,28,POR,0,69,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,.444,.369,.912,12.1,.205,/players/l/lillada01.html,2019
7,Joel Embiid,24,PHI,0,49,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,.300,.804,8.7,.194,/players/e/embiijo01.html,2019
8,Kevin Durant,30,GSW,0,25,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,.521,.353,.885,11.5,.204,/players/d/duranke01.html,2019
9,Kawhi Leonard,27,TOR,0,13,1010,0.013,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,.371,.854,9.5,.224,/players/l/leonaka01.html,2019
10,Russell Westbrook,30,OKC,0,8,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,.428,.290,.656,6.8,.124,/players/w/westbru01.html,2019
11T,Rudy Gobert,26,UTA,0,1,1010,0.001,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,/players/g/goberru01.html,2019
11T,LeBron James,34,LAL,0,1,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,.510,.339,.665,7.2,.179,/players/j/jamesle01.html,2019
1,Giannis Antetokounmpo,25,MIL,85,962,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,/players/a/antetgi01.html,2020
2,LeBron James,35,LAL,16,753,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,.493,.348,.693,9.8,.204,/players/j/jamesle01.html,2020
3,James Harden,30,HOU,0,367,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,.444,.355,.865,13.1,.254,/players/h/hardeja01.html,2020
4,Luka Dončić,20,DAL,0,200,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,.463,.316,.758,8.8,.207,/players/d/doncilu01.html,2020
5,Kawhi Leonard,28,LAC,0,168,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226,/players/l/leonaka01.html,2020
6,Anthony Davis,26,LAL,0,82,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250,/players/d/davisan02.html,2020
7,Chris Paul,34,OKC,0,26,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,.489,.365,.907,8.9,.193,/players/p/paulch01.html,2020
8,Damian Lillard,29,POR,0,23,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,.463,.401,.888,11.6,.225,/players/l/lillada01.html,2020
9,Nikola Jokić,24,DEN,0,18,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,.528,.314,.817,9.8,.202,/players/j/jokicni01.html,2020
10,Pascal Siakam,25,TOR,0,17,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,.453,.359,.792,5.4,.123,/players/s/siakapa01.html,2020
11,Jimmy Butler,30,MIA,0,9,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,.455,.244,.834,9.0,.221,/players/b/butleji01.html,2020
12,Jayson Tatum,21,BOS,0,1,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,.450,.403,.812,6.9,.146,/players/t/tatumja01.html,2020
1,Nikola Jokić,25,DEN,91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,.566,.388,.868,15.6,.301,/players/j/jokicni01.html,2021
2,Joel Embiid,26,PHI,1,586,1010,0.580,51,31.1,28.5,10.6,2.8,1.0,1.4,.513,.377,.859,8.8,.266,/players/e/embiijo01.html,2021
3,Stephen Curry,32,GSW,5,453,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,.482,.421,.916,9.0,.201,/players/c/curryst01.html,2021
4,Giannis Antetokounmpo,26,MIL,1,348,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,.569,.303,.685,10.2,.244,/players/a/antetgi01.html,2021
5,Chris Paul,35,PHO,2,139,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,.499,.395,.934,9.2,.201,/players/p/paulch01.html,2021
6,Luka Dončić,21,DAL,0,42,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,.479,.350,.730,7.7,.163,/players/d/doncilu01.html,2021
7,Damian Lillard,30,POR,0,38,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,.451,.391,.928,10.4,.209,/players/l/lillada01.html,2021
8,Julius Randle,26,NYK,0,20,1010,0.020,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140,/players/r/randlju01.html,2021
9,Derrick Rose,32,TOT,1,10,1010,0.010,50,25.6,14.7,2.6,4.2,1.0,0.4,.470,.388,.866,3.1,.118,/players/r/rosede01.html,2021
10,Rudy Gobert,28,UTA,0,8,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,/players/g/goberru01.html,2021
11,Russell Westbrook,32,WAS,0,5,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,.439,.315,.656,3.7,.075,/players/w/westbru01.html,2021
12,Ben Simmons,24,PHI,0,3,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,.557,.300,.613,6.0,.153,/players/s/simmobe01.html,2021
13T,James Harden,31,TOT,0,1,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,.466,.362,.861,7.0,.208,/players/h/hardeja01.html,2021
13T,LeBron James,36,LAL,0,1,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,.513,.365,.698,5.6,.179,/players/j/jamesle01.html,2021
13T,Kawhi Leonard,29,LAC,0,1,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,.512,.398,.885,8.8,.238,/players/l/leonaka01.html,2021
1,Nikola Jokić,26,DEN,65,875,1000,0.875,74,33.5,27.1,13.8,7.9,1.5,0.9,.583,.337,.810,15.2,.296,/players/j/jokicni01.html,2022
2,Joel Embiid,27,PHI,26,706,1000,0.706,68,33.8,30.6,11.7,4.2,1.1,1.5,.499,.371,.814,12.0,.252,/players/e/embiijo01.html,2022
3,Giannis Antetokounmpo,27,MIL,9,595,1000,0.595,67,32.9,29.9,11.6,5.8,1.1,1.4,.553,.293,.722,12.9,.281,/players/a/antetgi01.html,2022
4,Devin Booker,25,PHO,0,216,1000,0.216,68,34.5,26.8,5.0,4.8,1.1,0.4,.466,.383,.868,7.6,.156,/players/b/bookede01.html,2022
5,Luka Dončić,22,DAL,0,146,1000,0.146,65,35.4,28.4,9.1,8.7,1.2,0.6,.457,.353,.744,7.6,.159,/players/d/doncilu01.html,2022
6,Jayson Tatum,23,BOS,0,43,1000,0.043,76,35.9,26.9,8.0,4.4,1.0,0.6,.453,.353,.853,9.6,.169,/players/t/tatumja01.html,2022
7,Ja Morant,22,MEM,0,10,1000,0.010,57,33.1,27.4,5.7,6.7,1.2,0.4,.493,.344,.761,6.7,.171,/players/m/moranja01.html,2022
8,Stephen Curry,33,GSW,0,4,1000,0.004,64,34.5,25.5,5.2,6.3,1.3,0.4,.437,.380,.923,8.0,.173,/players/c/curryst01.html,2022
9,Chris Paul,36,PHO,0,2,1000,0.002,65,32.9,14.7,4.4,10.8,1.9,0.3,.493,.317,.837,9.4,.210,/players/p/paulch01.html,2022
10T,DeMar DeRozan,32,CHI,0,1,1000,0.001,76,36.1,27.9,5.2,4.9,0.9,0.3,.504,.352,.877,8.8,.154,/players/d/derozde01.html,2022
10T,Kevin Durant,33,BRK,0,1,1000,0.001,55,37.2,29.9,7.4,6.4,0.9,0.9,.518,.383,.910,8.4,.198,/players/d/duranke01.html,2022
10T,LeBron James,37,LAL,0,1,1000,0.001,56,37.2,30.3,8.2,6.2,1.3,1.1,.524,.359,.756,7.5,.172,/players/j/jamesle01.html,2022
1,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,.548,.330,.857,12.3,.259,/players/e/embiijo01.html,2023
2,Nikola Jokić,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,.632,.383,.822,14.9,.308,/players/j/jokicni01.html,2023
3,Giannis Antetokounmpo,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,.553,.275,.645,8.6,.204,/players/a/antetgi01.html,2023
4,Jayson Tatum,24,BOS,0,280,1000,0.280,74,36.9,30.1,8.8,4.6,1.1,0.7,.466,.350,.854,10.5,.185,/players/t/tatumja01.html,2023
5,Shai Gilgeous-Alexander,24,OKC,0,46,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,.510,.345,.905,11.4,.226,/players/g/gilgesh01.html,2023
6,Donovan Mitchell,26,CLE,0,30,1000,0.030,68,35.8,28.3,4.3,4.4,1.5,0.4,.484,.386,.867,8.9,.176,/players/m/mitchdo01.html,2023
7,Domantas Sabonis,26,SAC,0,27,1000,0.027,79,34.6,19.1,12.3,7.3,0.8,0.5,.615,.373,.742,12.6,.221,/players/s/sabondo01.html,2023
8,Luka Dončić,23,DAL,0,10,1000,0.010,66,36.2,32.4,8.6,8.0,1.4,0.5,.496,.342,.742,10.2,.204,/players/d/doncilu01.html,2023
9,Stephen Curry,34,GSW,0,5,1000,0.005,56,34.7,29.4,6.1,6.3,0.9,0.4,.493,.427,.915,7.8,.192,/players/c/curryst01.html,2023
10,Jimmy Butler,33,MIA,0,3,1000,0.003,64,33.4,22.9,5.9,5.3,1.8,0.3,.539,.350,.850,12.3,.277,/players/b/butleji01.html,2023
11,De'Aaron Fox,25,SAC,0,2,1000,0.002,73,33.4,25.0,4.2,6.1,1.1,0.3,.512,.324,.780,7.4,.146,/players/f/foxde01.html,2023
12T,Jalen Brunson,26,NYK,0,1,1000,0.001,68,35.0,24.0,3.5,6.2,0.9,0.2,.491,.416,.829,8.7,.175,/players/b/brunsja01.html,2023
12T,Ja Morant,23,MEM,0,1,1000,0.001,61,31.9,26.2,5.9,8.1,1.1,0.3,.466,.307,.748,6.0,.148,/players/m/moranja01.html,2023
