No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
15,Branden Carlson,C,7-0,220,"June 14, 1999",usUS,R,Utah,https://www.basketball-reference.com/players/c/carlsbr01.html,OKC,2025
9,Alex Caruso,SG,6-5,186,"February 28, 1994",usUS,7,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,OKC,2025
13,Ousmane Dieng,C,6-10,222,"May 21, 2003",frFR,2,,https://www.basketball-reference.com/players/d/diengou01.html,OKC,2025
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",caCA,5,Arizona State,https://www.basketball-reference.com/players/d/dortlu01.html,OKC,2025
88,Alex Ducas,SG,6-6,222,"December 11, 2000",auAU,R,Saint Mary's,https://www.basketball-reference.com/players/d/ducasal01.html,OKC,2025
14,Adam Flagler,SG,6-3,195,"December 1, 1999",usUS,1,"Presbyterian College,Baylor",https://www.basketball-reference.com/players/f/flaglad01.html,OKC,2025
2,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",caCA,6,Kentucky,https://www.basketball-reference.com/players/g/gilgesh01.html,OKC,2025
55,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",usUS,6,,https://www.basketball-reference.com/players/h/harteis01.html,OKC,2025
7,Chet Holmgren,C,7-1,213,"May 1, 2002",usUS,1,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01.html,OKC,2025
11,Isaiah Joe,SG,6-5,181,"July 2, 1999",usUS,4,Arkansas,https://www.basketball-reference.com/players/j/joeis01.html,OKC,2025
3,Dillon Jones,SF,6-5,240,"October 29, 2001",usUS,R,Weber State,https://www.basketball-reference.com/players/j/jonesdi01.html,OKC,2025
17,Malevy Leons,SF,6-9,205,"September 23, 1999",nlNL,R,"Mineral Area College,Bradley",https://www.basketball-reference.com/players/l/leonsma01.html,OKC,2025
25,Ajay Mitchell,SG,6-5,200,"June 25, 2002",beBE,R,UC Santa Barbara,https://www.basketball-reference.com/players/m/mitchaj01.html,OKC,2025
15,Alex Reese,PF,6-9,245,"May 21, 1999",usUS,R,Alabama,https://www.basketball-reference.com/players/r/reeseal01.html,OKC,2025
22,Cason Wallace,SG,6-4,205,"November 7, 2003",usUS,1,Kentucky,https://www.basketball-reference.com/players/w/wallaca01.html,OKC,2025
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",usUS,3,Maryland,https://www.basketball-reference.com/players/w/wiggiaa01.html,OKC,2025
8,Jalen Williams,SG,6-6,220,"April 14, 2001",usUS,2,Santa Clara,https://www.basketball-reference.com/players/w/willija06.html,OKC,2025
6,Jaylin Williams,PF,6-8,250,"June 29, 2002",usUS,2,Arkansas,https://www.basketball-reference.com/players/w/willija07.html,OKC,2025
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",usUS,6,TCU,https://www.basketball-reference.com/players/w/willike04.html,OKC,2025
45,Dalano Banton,PG,6-9,204,"November 7, 1999",caCA,2,Nebraska,https://www.basketball-reference.com/players/b/bantoda01.html,BOS,2024
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",caCA,4,Syracuse,https://www.basketball-reference.com/players/b/brissos01.html,BOS,2024
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",usUS,7,California,https://www.basketball-reference.com/players/b/brownja02.html,BOS,2024
20,JD Davison,SG,6-1,195,"October 3, 2002",usUS,1,Alabama,https://www.basketball-reference.com/players/d/davisjd01.html,BOS,2024
30,Sam Hauser,SF,6-8,215,"December 8, 1997",usUS,2,"Marquette,Virginia",https://www.basketball-reference.com/players/h/hausesa01.html,BOS,2024
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",usUS,14,UCLA,https://www.basketball-reference.com/players/h/holidjr01.html,BOS,2024
42,Al Horford,C,6-9,240,"June 3, 1986",doDO,16,Florida,https://www.basketball-reference.com/players/h/horfoal01.html,BOS,2024
40,Luke Kornet,C,7-2,250,"July 15, 1995",usUS,6,Vanderbilt,https://www.basketball-reference.com/players/k/kornelu01.html,BOS,2024
50,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",uaUA,5,Kansas,https://www.basketball-reference.com/players/m/mykhasv01.html,BOS,2024
13,Drew Peterson,PF,6-9,205,"November 9, 1999",usUS,R,"Rice University,USC",https://www.basketball-reference.com/players/p/peterdr01.html,BOS,2024
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lvLV,7,,https://www.basketball-reference.com/players/p/porzikr01.html,BOS,2024
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",usUS,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01.html,BOS,2024
88,Neemias Queta,C,7-0,245,"July 13, 1999",ptPT,2,Utah State University,https://www.basketball-reference.com/players/q/quetane01.html,BOS,2024
44,Jaden Springer,SG,6-4,204,"September 25, 2002",usUS,2,Tennessee,https://www.basketball-reference.com/players/s/sprinja01.html,BOS,2024
77,Lamar Stevens,PF,6-6,230,"July 9, 1997",usUS,3,Penn State,https://www.basketball-reference.com/players/s/stevela01.html,BOS,2024
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",usUS,6,Duke,https://www.basketball-reference.com/players/t/tatumja01.html,BOS,2024
26,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",usUS,3,Michigan State,https://www.basketball-reference.com/players/t/tillmxa01.html,BOS,2024
27,Jordan Walsh,SF,6-7,205,"March 3, 2004",usUS,R,Arkansas,https://www.basketball-reference.com/players/w/walshjo01.html,BOS,2024
9,Derrick White,SG,6-4,190,"July 2, 1994",usUS,6,"Colorado-Colorado Springs,Colorado",https://www.basketball-reference.com/players/w/whitede01.html,BOS,2024
0,Christian Braun,SG,6-6,218,"April 17, 2001",usUS,R,Kansas,https://www.basketball-reference.com/players/b/braunch01.html,DEN,2023
11,Bruce Brown,SF,6-4,202,"August 15, 1996",usUS,4,Miami (FL),https://www.basketball-reference.com/players/b/brownbr01.html,DEN,2023
