Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player_Link,Year
1,James Harden,29,HOU,PG,78,78,2867,843,1909,.442,378,1028,.368,465,881,.528,.541,754,858,.879,66,452,518,586,158,58,387,244,2818,7,"MVP-2,AS,NBA1",https://www.basketball-reference.com/players/h/hardeja01.html,2019
2,Paul George,28,OKC,SF,77,77,2841,707,1614,.438,292,757,.386,415,857,.484,.529,453,540,.839,105,523,628,318,170,34,205,214,2159,1,"MVP-3,DPOY-3,AS,NBA1,DEF1",https://www.basketball-reference.com/players/g/georgpa01.html,2019
3,Kemba Walker,28,CHO,PG,82,82,2863,731,1684,.434,260,731,.356,471,953,.494,.511,380,450,.844,52,309,361,484,102,34,211,131,2102,0,"AS,NBA3",https://www.basketball-reference.com/players/w/walkeke02.html,2019
4,Bradley Beal,25,WAS,SG,82,82,3028,764,1609,.475,209,596,.351,555,1013,.548,.540,362,448,.808,89,322,411,448,121,58,224,226,2099,2,AS,https://www.basketball-reference.com/players/b/bealbr01.html,2019
5,Damian Lillard,28,POR,PG,80,80,2838,681,1533,.444,237,643,.369,444,890,.499,.522,468,513,.912,68,303,371,551,88,34,212,148,2067,0,"MVP-6,AS,NBA2",https://www.basketball-reference.com/players/l/lillada01.html,2019
6,Kevin Durant,30,GSW,SF,78,78,2702,721,1383,.521,137,388,.353,584,995,.587,.571,448,506,.885,33,464,497,457,58,84,225,155,2027,2,"MVP-8,AS,NBA2",https://www.basketball-reference.com/players/d/duranke01.html,2019
7,Giannis Antetokounmpo,24,MIL,PF,72,72,2358,721,1247,.578,52,203,.256,669,1044,.641,.599,500,686,.729,159,739,898,424,92,110,268,232,1994,5,"MVP-1,DPOY-2,AS,NBA1,DEF1",https://www.basketball-reference.com/players/a/antetgi01.html,2019
8,Stephen Curry,30,GSW,PG,69,69,2331,632,1340,.472,354,810,.437,278,530,.525,.604,263,287,.916,45,324,369,361,92,25,192,166,1881,0,"MVP-5,AS,NBA1",https://www.basketball-reference.com/players/c/curryst01.html,2019
9,Karl-Anthony Towns,23,MIN,C,77,77,2545,681,1314,.518,142,355,.400,539,959,.562,.572,376,450,.836,263,691,954,259,67,125,240,292,1880,0,AS,https://www.basketball-reference.com/players/t/townska01.html,2019
10,Blake Griffin,29,DET,PF,75,75,2622,619,1341,.462,189,522,.362,430,819,.525,.532,414,550,.753,100,465,565,402,52,28,253,199,1841,2,"AS,NBA3",https://www.basketball-reference.com/players/g/griffbl01.html,2019
