link,Name,Position,Shoots,Team,Born,Experience,Height_Weight
https://www.basketball-reference.com/players/l/lowryky01.html,Kyle Lowry,Point Guard,Right,Philadelphia 76ers,"March 25,
            1986
 (Age: 39-185d)

    in Philadelphia, Pennsylvania",19 years,"6-0,196lb (183cm, 88kg)"
https://www.basketball-reference.com/players/p/portemi01.html,Michael Porter Jr.,Small Forward,Right,Brooklyn Nets,"June 29,
            1998
 (Age: 27-089d)

    in Indianapolis, Indiana",6 years,"6-10,218lb (208cm, 98kg)"
https://www.basketball-reference.com/players/v/vucevni01.html,Nikola Vučević,Center,Right,Chicago Bulls,"October 24,
            1990
 (Age: 34-337d)

    in Morges, Switzerland",14 years,"6-10,260lb (208cm, 117kg)"
https://www.basketball-reference.com/players/h/harremo01.html,Montrezl Harrell,Center and Power Forward,Right,,"January 26,
            1994
 (Age: 31-243d)

    in Tarboro, North Carolina",8 years,"6-7,240lb (201cm, 108kg)"
https://www.basketball-reference.com/players/b/banede01.html,Desmond Bane,Shooting Guard,Right,Orlando Magic,"June 25,
            1998
 (Age: 27-093d)

    in Richmond, Indiana",5 years,"6-5,215lb (196cm, 97kg)"
https://www.basketball-reference.com/players/e/edwaran01.html,Anthony Edwards,Shooting Guard,Right,Minnesota Timberwolves,"August 5,
            2001
 (Age: 24-052d)

    in Atlanta, Georgia",5 years,"6-4,225lb (193cm, 102kg)"
https://www.basketball-reference.com/players/c/cunnica01.html,Cade Cunningham,Point Guard and Shooting Guard,Right,Detroit Pistons,"September 25,
            2001
 (Age: 24-001d)

    in Arlington, Texas",4 years,"6-6,220lb (198cm, 99kg)"
https://www.basketball-reference.com/players/m/mobleev01.html,Evan Mobley,Power Forward,Right,Cleveland Cavaliers,"June 18,
            2001
 (Age: 24-100d)

    in San Diego, California",4 years,"6-11,215lb (211cm, 97kg)"
https://www.basketball-reference.com/players/m/maxeyty01.html,Tyrese Maxey,Point Guard and Shooting Guard,Right,Philadelphia 76ers,"November 4,
            2000
 (Age: 24-326d)

    in Dallas, Texas",5 years,"6-2,200lb (188cm, 90kg)"
https://www.basketball-reference.com/players/l/leonaka01.html,Kawhi Leonard,Small Forward,Right,Los Angeles Clippers,"June 29,
            1991
 (Age: 34-089d)

    in Los Angeles, California",13 years,"6-7,225lb (201cm, 102kg)"
https://www.basketball-reference.com/players/w/whiteco01.html,Coby White,Point Guard and Shooting Guard,Right,Chicago Bulls,"February 16,
            2000
 (Age: 25-222d)

    in Goldsboro, North Carolina",6 years,"6-5,195lb (196cm, 88kg)"
https://www.basketball-reference.com/players/t/trentga02.html,Gary Trent Jr.,Shooting Guard and Small Forward,Right,Milwaukee Bucks,"January 18,
            1999
 (Age: 26-251d)

    in Columbus, Ohio",7 years,"6-5,209lb (196cm, 94kg)"
https://www.basketball-reference.com/players/c/collijo01.html,John Collins,Power Forward,Right,Los Angeles Clippers,"September 23,
            1997
 (Age: 28-003d)

    in Layton, Utah",8 years,"6-9,235lb (206cm, 106kg)"
https://www.basketball-reference.com/players/b/bogdabo02.html,Bojan Bogdanović,Small Forward and Power Forward,Right,,"April 18,
            1989
 (Age: 36-161d)

    in Mostar, Bosnia and Herzegovina",10 years,"6-7,226lb (201cm, 102kg)"
https://www.basketball-reference.com/players/r/roziete01.html,Terry Rozier,Point Guard and Shooting Guard,Right,Miami Heat,"March 17,
            1994
 (Age: 31-193d)

    in Youngstown, Ohio",10 years,"6-1,190lb (185cm, 86kg)"
https://www.basketball-reference.com/players/d/dinwisp01.html,Spencer Dinwiddie,Point Guard and Shooting Guard,Right,,"April 6,
            1993
 (Age: 32-173d)

    in Los Angeles, California",11 years,"6-5,215lb (196cm, 97kg)"
https://www.basketball-reference.com/players/h/herroty01.html,Tyler Herro,Shooting Guard,Right,Miami Heat,"January 20,
            2000
 (Age: 25-249d)

    in Milwaukee, Wisconsin",6 years,"6-5,195lb (196cm, 88kg)"
https://www.basketball-reference.com/players/m/mccolcj01.html,CJ McCollum,Shooting Guard and Point Guard,Right,Washington Wizards,"September 19,
            1991
 (Age: 34-007d)

    in Canton, Ohio",12 years,"6-3,190lb (190cm, 86kg)"
https://www.basketball-reference.com/players/b/brogdma01.html,Malcolm Brogdon,Point Guard and Shooting Guard,Right,New York Knicks,"December 11,
            1992
 (Age: 32-289d)

    in Atlanta, Georgia",9 years,"6-4,229lb (193cm, 103kg)"
https://www.basketball-reference.com/players/w/wagnefr01.html,Franz Wagner,Small Forward,Right,Orlando Magic,"August 27,
            2001
 (Age: 24-030d)

    in Berlin, Germany",4 years,"6-10,225lb (208cm, 102kg)"
https://www.basketball-reference.com/players/j/johnske04.html,Keldon Johnson,Small Forward,Right,San Antonio Spurs,"October 11,
            1999
 (Age: 25-350d)

    in Chesterfield, Virginia",6 years,"6-5,220lb (196cm, 99kg)"
https://www.basketball-reference.com/players/b/beysa01.html,Saddiq Bey,Small Forward,Right,New Orleans Pelicans,"April 9,
            1999
 (Age: 26-170d)

    in Charlotte, North Carolina",4 years,"6-7,215lb (201cm, 97kg)"
https://www.basketball-reference.com/players/b/bogdabo01.html,Bogdan Bogdanović,Shooting Guard,Right,Los Angeles Clippers,"August 18,
            1992
 (Age: 33-039d)

    in Belgrade, Serbia",8 years,"6-5,220lb (196cm, 99kg)"
https://www.basketball-reference.com/players/a/antetgi01.html,Giannis Antetokounmpo,"Power Forward, Small Forward, Point Guard, and Shooting Guard",Right,Milwaukee Bucks,"December 6,
            1994
 (Age: 30-294d)

    in Athens, Greece",12 years,"6-11,242lb (211cm, 109kg)"
https://www.basketball-reference.com/players/s/simmobe01.html,Ben Simmons,Point Guard,Left,,"July 20,
            1996
 (Age: 29-068d)

    in Melbourne, Australia",7 years,"6-10,240lb (208cm, 108kg)"
https://www.basketball-reference.com/players/i/irvinky01.html,Kyrie Irving,Point Guard and Shooting Guard,Right,Dallas Mavericks,"March 23,
            1992
 (Age: 33-187d)

    in Melbourne, Australia",14 years,"6-2,195lb (188cm, 88kg)"
https://www.basketball-reference.com/players/s/sextoco01.html,Collin Sexton,Shooting Guard and Point Guard,Right,Charlotte Hornets,"January 4,
            1999
 (Age: 26-265d)

    in Marietta, Georgia",7 years,"6-3,190lb (190cm, 86kg)"
https://www.basketball-reference.com/players/c/conlemi01.html,Mike Conley,Point Guard,Left,Minnesota Timberwolves,"October 11,
            1987
 (Age: 37-350d)

    in Fayetteville, Arkansas",18 years,"6-0,175lb (183cm, 79kg)"
https://www.basketball-reference.com/players/b/bridgmi02.html,Miles Bridges,Small Forward and Power Forward,Left,Charlotte Hornets,"March 21,
            1998
 (Age: 27-189d)

    in Flint, Michigan",6 years,"6-7,225lb (201cm, 102kg)"
https://www.basketball-reference.com/players/p/poolejo01.html,Jordan Poole,Shooting Guard and Point Guard,Right,New Orleans Pelicans,"June 19,
            1999
 (Age: 26-099d)

    in Milwaukee, Wisconsin",6 years,"6-4,194lb (193cm, 87kg)"
https://www.basketball-reference.com/players/t/townska01.html,Karl-Anthony Towns,Center and Power Forward,Right,New York Knicks,"November 15,
            1995
 (Age: 29-315d)

    in Edison, New Jersey",10 years,"7-0,248lb (213cm, 112kg)"
https://www.basketball-reference.com/players/b/barrerj01.html,RJ Barrett,Shooting Guard and Small Forward,Left,Toronto Raptors,"June 14,
            2000
 (Age: 25-104d)

    in Toronto, Ontario",6 years,"6-6,214lb (198cm, 97kg)"
https://www.basketball-reference.com/players/w/westbru01.html,Russell Westbrook,Point Guard,Right,,"November 12,
            1988
 (Age: 36-318d)

    in Long Beach, California",17 years,"6-4,200lb (193cm, 90kg)"
https://www.basketball-reference.com/players/m/murrade01.html,Dejounte Murray,Point Guard and Shooting Guard,Right,New Orleans Pelicans,"September 19,
            1996
 (Age: 29-007d)

    in Seattle, Washington",8 years,"6-5,180lb (196cm, 81kg)"
https://www.basketball-reference.com/players/i/ingrabr01.html,Brandon Ingram,Small Forward and Power Forward,Right,Toronto Raptors,"September 2,
            1997
 (Age: 28-024d)

    in Kinston, North Carolina",9 years,"6-8,190lb (203cm, 86kg)"
https://www.basketball-reference.com/players/w/warretj01.html,T.J. Warren,Small Forward and Power Forward,Right,,"September 5,
            1993
 (Age: 32-021d)

    in Durham, North Carolina",9 years,"6-8,220lb (203cm, 99kg)"
https://www.basketball-reference.com/players/m/markkla01.html,Lauri Markkanen,Power Forward and Small Forward,Right,Utah Jazz,"May 22,
            1997
 (Age: 28-127d)

    in Vantaa, Finland",8 years,"7-0,240lb (213cm, 108kg)"
https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,Power Forward and Center,Right,,"July 19,
            1985
 (Age: 40-069d)

    in Dallas, Texas",,"6-11,250lb (211cm, 113kg)"
https://www.basketball-reference.com/players/h/hardeja01.html,James Harden,Point Guard and Shooting Guard,Left,Los Angeles Clippers,"August 26,
            1989
 (Age: 36-031d)

    in Los Angeles, California",16 years,"6-5,220lb (196cm, 99kg)"
https://www.basketball-reference.com/players/t/thompkl01.html,Klay Thompson,Shooting Guard and Small Forward,Right,Dallas Mavericks,"February 8,
            1990
 (Age: 35-230d)

    in Los Angeles, California",12 years,"6-5,215lb (196cm, 97kg)"
https://www.basketball-reference.com/players/h/holidjr01.html,Jrue Holiday,Point Guard and Shooting Guard,Right,Portland Trail Blazers,"June 12,
            1990
 (Age: 35-106d)

    in Chatsworth, California",16 years,"6-4,205lb (193cm, 92kg)"
