Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player_Link
1,James Harden,30,HOU,SG,68,68,2483,672,1514,.444,299,843,.355,373,671,.556,.543,692,800,.865,70,376,446,512,125,60,308,227,2335,4,"MVP-3,AS,NBA1",https://www.basketball-reference.com/players/h/hardeja01.html
2,Damian Lillard,29,POR,PG,66,66,2474,624,1349,.463,270,674,.401,354,675,.524,.563,460,518,.888,33,251,284,530,70,22,194,114,1978,1,"MVP-8,AS,NBA2",https://www.basketball-reference.com/players/l/lillada01.html
3,Devin Booker,23,PHO,SG,70,70,2512,627,1283,.489,141,398,.354,486,885,.549,.544,468,509,.919,29,268,297,456,49,18,264,213,1863,0,AS,https://www.basketball-reference.com/players/b/bookede01.html
4,Giannis Antetokounmpo,25,MIL,PF,63,63,1917,685,1238,.553,89,293,.304,596,945,.631,.589,398,629,.633,140,716,856,354,61,66,230,195,1857,4,"MVP-1,DPOY-1,AS,NBA1,DEF1",https://www.basketball-reference.com/players/a/antetgi01.html
5,Trae Young,21,ATL,PG,60,60,2120,546,1249,.437,205,568,.361,341,681,.501,.519,481,559,.860,32,223,255,560,65,8,289,104,1778,2,AS,https://www.basketball-reference.com/players/y/youngtr01.html
6,Luka Dončić,20,DAL,PG,61,61,2047,581,1255,.463,171,541,.316,410,714,.574,.531,426,562,.758,78,495,573,538,62,14,260,153,1759,17,"MVP-4,AS,NBA1",https://www.basketball-reference.com/players/d/doncilu01.html
7,Bradley Beal,26,WAS,SG,57,57,2053,593,1303,.455,170,481,.353,423,822,.515,.520,385,457,.842,52,190,242,347,71,23,194,126,1741,0,,https://www.basketball-reference.com/players/b/bealbr01.html
8,LeBron James,35,LAL,PG,67,67,2316,643,1303,.493,148,425,.348,495,878,.564,.550,264,381,.693,66,459,525,684,78,36,261,118,1698,13,"MVP-2,AS,NBA1",https://www.basketball-reference.com/players/j/jamesle01.html
9,Donovan Mitchell,23,UTA,SG,69,69,2364,602,1342,.449,173,473,.366,429,869,.494,.513,278,322,.863,53,251,304,294,70,14,184,172,1655,0,AS,https://www.basketball-reference.com/players/m/mitchdo01.html
10,Anthony Davis,26,LAL,PF,62,62,2131,551,1096,.503,72,218,.330,479,878,.546,.536,444,525,.846,142,435,577,200,91,143,154,156,1618,0,"MVP-6,DPOY-2,AS,NBA1,DEF1",https://www.basketball-reference.com/players/d/davisan02.html
11,CJ McCollum,28,POR,SG,70,70,2556,611,1356,.451,194,512,.379,417,844,.494,.522,140,185,.757,46,251,297,310,54,42,127,183,1556,0,,https://www.basketball-reference.com/players/m/mccolcj01.html
12,Russell Westbrook,31,HOU,PG,57,57,2049,604,1281,.472,55,213,.258,549,1068,.514,.493,290,380,.763,100,351,451,401,93,20,255,200,1553,8,"AS,NBA3",https://www.basketball-reference.com/players/w/westbru01.html
13,Jayson Tatum,21,BOS,PF,66,66,2265,552,1226,.450,189,469,.403,363,757,.480,.527,254,313,.812,64,396,460,200,93,57,155,136,1547,0,"MVP-12,AS,NBA3",https://www.basketball-reference.com/players/t/tatumja01.html
14,Kawhi Leonard,28,LAC,SF,57,57,1848,532,1133,.470,123,325,.378,409,808,.506,.524,356,402,.886,54,348,402,280,103,33,149,113,1543,1,"MVP-5,DPOY-8,AS,NBA2,DEF2",https://www.basketball-reference.com/players/l/leonaka01.html
15,Zach LaVine,24,CHI,SF,60,60,2085,539,1199,.450,184,484,.380,355,715,.497,.526,268,334,.802,41,248,289,254,88,28,206,131,1530,0,,https://www.basketball-reference.com/players/l/lavinza01.html
16,DeMar DeRozan,30,SAS,SF,68,68,2316,557,1049,.531,9,35,.257,548,1014,.540,.535,381,451,.845,44,331,375,380,70,20,164,180,1504,0,,https://www.basketball-reference.com/players/d/derozde01.html
17,Brandon Ingram,22,NOP,PF,62,62,2104,507,1096,.463,150,384,.391,357,712,.501,.531,313,368,.851,51,329,380,259,61,38,189,179,1477,0,"MIP-1,AS",https://www.basketball-reference.com/players/i/ingrabr01.html
18,Nikola Jokić,24,DEN,C,73,73,2336,565,1071,.528,80,255,.314,485,816,.594,.565,246,301,.817,166,545,711,512,85,44,226,222,1456,13,"MVP-9,AS,NBA2",https://www.basketball-reference.com/players/j/jokicni01.html
19,Tobias Harris,27,PHI,PF,72,72,2469,553,1173,.471,131,357,.367,422,816,.517,.527,174,216,.806,69,426,495,227,53,40,104,165,1411,0,,https://www.basketball-reference.com/players/h/harrito02.html
20,Buddy Hield,27,SAC,SG,72,44,2216,498,1162,.429,271,688,.394,227,474,.479,.545,115,136,.846,57,271,328,213,66,17,168,165,1382,0,,https://www.basketball-reference.com/players/h/hieldbu01.html
